day,exchange,category,volume_usdc,fills
2024-11-06 00:00:00.000 UTC,negrisk,unknown,346758238.78128624,483141
2024-11-06 00:00:00.000 UTC,regular,unknown,11857590.13375702,50019
2024-11-07 00:00:00.000 UTC,negrisk,unknown,42856346.50330702,219645
2024-11-07 00:00:00.000 UTC,regular,unknown,5745181.901579998,37979
2024-11-08 00:00:00.000 UTC,negrisk,unknown,53870208.78370797,234680
2024-11-08 00:00:00.000 UTC,regular,unknown,4608814.0629020035,31975
2024-11-09 00:00:00.000 UTC,negrisk,unknown,52184661.07806007,475784
2024-11-09 00:00:00.000 UTC,regular,unknown,5468425.378828999,27822
2024-11-10 00:00:00.000 UTC,negrisk,unknown,59938892.18896495,542827
2024-11-10 00:00:00.000 UTC,regular,unknown,7542740.766026001,45890
2024-11-11 00:00:00.000 UTC,negrisk,unknown,62104755.40732787,279794
2024-11-11 00:00:00.000 UTC,regular,unknown,7889415.307840003,38777
2024-11-12 00:00:00.000 UTC,negrisk,unknown,56128539.16489791,318648
2024-11-12 00:00:00.000 UTC,regular,unknown,5854454.236174999,41600
2024-11-13 00:00:00.000 UTC,negrisk,unknown,67898870.52315013,276196
2024-11-13 00:00:00.000 UTC,regular,unknown,7614766.026803003,46509
2024-11-14 00:00:00.000 UTC,negrisk,unknown,72801106.0664979,345550
2024-11-14 00:00:00.000 UTC,regular,unknown,6773752.304949005,39655
2024-11-15 00:00:00.000 UTC,negrisk,unknown,75849839.02843133,376513
2024-11-15 00:00:00.000 UTC,regular,unknown,6152208.003477997,41281
2024-11-16 00:00:00.000 UTC,negrisk,unknown,66073069.604870945,370196
2024-11-16 00:00:00.000 UTC,regular,unknown,4497622.388011003,40710
2024-11-17 00:00:00.000 UTC,negrisk,unknown,19549489.084680006,312161
2024-11-17 00:00:00.000 UTC,regular,unknown,6474180.0436040005,42587
2024-11-18 00:00:00.000 UTC,negrisk,unknown,42695763.976117946,322115
2024-11-18 00:00:00.000 UTC,regular,unknown,7442772.296684994,43297
2024-11-19 00:00:00.000 UTC,negrisk,unknown,45255251.341288105,365348
2024-11-19 00:00:00.000 UTC,regular,unknown,5857798.325418,47959
2024-11-20 00:00:00.000 UTC,negrisk,unknown,25992116.401721027,320748
2024-11-20 00:00:00.000 UTC,regular,unknown,6201752.332853001,47136
2024-11-21 00:00:00.000 UTC,negrisk,unknown,41102323.51577575,284092
2024-11-21 00:00:00.000 UTC,regular,unknown,9611916.32968899,58661
2024-11-22 00:00:00.000 UTC,negrisk,unknown,35535911.80455794,304315
2024-11-22 00:00:00.000 UTC,regular,unknown,10603930.323620982,68226
2024-11-23 00:00:00.000 UTC,negrisk,unknown,16140064.950897,284406
2024-11-23 00:00:00.000 UTC,regular,unknown,11104612.705242027,49941
2024-11-24 00:00:00.000 UTC,negrisk,unknown,26438967.212507237,243964
2024-11-24 00:00:00.000 UTC,regular,unknown,7108780.133550002,47985
2024-11-25 00:00:00.000 UTC,negrisk,unknown,48571158.44132285,273434
2024-11-25 00:00:00.000 UTC,regular,unknown,8056719.543711994,56411
2024-11-26 00:00:00.000 UTC,negrisk,unknown,25981965.61079693,264216
2024-11-26 00:00:00.000 UTC,regular,unknown,7264752.310084005,58580
2024-11-27 00:00:00.000 UTC,negrisk,unknown,28957194.659583975,264536
2024-11-27 00:00:00.000 UTC,regular,unknown,6911967.082662996,55159
2024-11-28 00:00:00.000 UTC,negrisk,unknown,48593031.13709892,273210
2024-11-28 00:00:00.000 UTC,regular,unknown,6969487.379078998,50464
2024-11-29 00:00:00.000 UTC,negrisk,unknown,51193544.59482403,285551
2024-11-29 00:00:00.000 UTC,regular,unknown,9777846.710282989,50759
2024-11-30 00:00:00.000 UTC,negrisk,unknown,19141010.866716027,266922
2024-11-30 00:00:00.000 UTC,regular,unknown,9374623.498417003,49268
2024-12-01 00:00:00.000 UTC,negrisk,unknown,23760889.668760005,218283
2024-12-01 00:00:00.000 UTC,regular,unknown,10188910.916502,42490
2024-12-02 00:00:00.000 UTC,negrisk,unknown,36622101.90060498,243503
2024-12-02 00:00:00.000 UTC,regular,unknown,7974283.5659260005,47595
2024-12-03 00:00:00.000 UTC,negrisk,unknown,41456353.08384337,260735
2024-12-03 00:00:00.000 UTC,regular,unknown,8038412.546714996,68431
2024-12-04 00:00:00.000 UTC,negrisk,unknown,41154456.16022892,267755
2024-12-04 00:00:00.000 UTC,regular,unknown,12788922.456427993,84771
2024-12-05 00:00:00.000 UTC,negrisk,unknown,41305956.8240699,302642
2024-12-05 00:00:00.000 UTC,regular,unknown,13721088.302560998,123498
2024-12-06 00:00:00.000 UTC,negrisk,unknown,49967182.799155146,234682
2024-12-06 00:00:00.000 UTC,regular,unknown,13128758.685468994,95127
2024-12-07 00:00:00.000 UTC,negrisk,unknown,22235407.183170144,190157
2024-12-07 00:00:00.000 UTC,regular,unknown,7784368.197445018,78877
2024-12-08 00:00:00.000 UTC,negrisk,unknown,16840516.17427302,135768
2024-12-08 00:00:00.000 UTC,regular,unknown,9300845.367202006,72936
2024-12-09 00:00:00.000 UTC,negrisk,unknown,33589588.63922597,273883
2024-12-09 00:00:00.000 UTC,regular,unknown,6851837.190996988,62054
2024-12-10 00:00:00.000 UTC,negrisk,unknown,28501499.049151562,332629
2024-12-10 00:00:00.000 UTC,regular,unknown,7372212.156951996,68722
