wallet,volume_usdc,trades
0x02227b8f5a9636e895607edd3185ed6ee5598ff7,6179746.746434005,2234
0xe1d6b51521bd4365769199f392f9818661bd907c,6049431.899516,135151
0xd5aff8ad5f04e6b2307882c085ee3bbd0ba05d38,6030871.450995999,3595
0x7af9bac9328c7cec1f9d07786e59576b608db408,6017988.714903999,1495
0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,5988901.155495001,1958
0x8f037a2e4fd49d11267f4ab874ab7ba745ac64d6,5933910.526114997,1038
0xd1be0932c621cc31edb32eae5cc7e8394faccc57,5702920.946193999,2012
0x3cc654af2b896648b10a477123dc5aaecbc19df6,5619739.608653,1979
0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,5618432.346008995,256069
0x2e352f508127c0730f47b9df8362415171f51fe1,5571637.657824998,1452
0xf68a281980f8c13828e84e147e3822381d6e5b1b,5539686.751525998,37589
0x68146921df11eab44296dc4e58025ca84741a9e7,5536282.4027450215,411770
0x30cecdf29f069563ea21b8ae94492e41e53a6b2b,5460704.076747005,379137
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,5438631.034099999,30130
0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,5400660.654016003,40815
0xa9e8faf20424f3efbf12abaea0e7069d7546c443,5377661.077043005,3012
0x8245ea0d5a476678cb354b69e136908f0757ebed,5333324.106419996,8343
0xa3ad70cf48a2f2b44163e798223c01a2c2536866,5317988.769755001,78701
0xf19d7d88cf362110027dcd64750fdd209a04276f,5304312.351914999,1803
0x0720803c7cb0d0c5a928787b3b7ea148c6831cdb,5303457.398487,1310
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,5260325.127740001,556
0xd111ced402bac802f74606deca83bbf6a1eaaf32,5245051.979433997,503660
0x52f8784a81d967a3afb74d2e1608503ff5e261b9,5239953.860147002,533699
0xacae3c6efeedd75f2b34564f55356855e8fd6798,5199691.39242,3632
0x576b0696fd5a9225d66fd9500fd98f5be10b0cab,5198684.818806005,425027
0xada56a3f1a9d7d3fe7ec8cbcaa0865109c57db70,5187197.883177004,65101
0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,5161073.591867,622
0xf6963d4cdbb6f26d753bda303e9513132afb1b7d,5143781.509771001,672327
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,5142649.481680999,56361
0x0d05acd6baaa8ea1fac50ab74a7679ae6f534518,5106809.823688997,94394
0x2b3ff45c91540e46fae1e0c72f61f4b049453446,5087877.511305,248
0x9efda3d6354152901fc4706c3b1a9ce50b45ad00,5084249.3345180005,858
