month,kind,n,fee_charged_raw,refund_raw
2026-01-01 00:00:00.000 UTC,ctf_refund,57794125,4793574.038099296,79805076.0838478
2026-02-01 00:00:00.000 UTC,ctf_refund,146367836,9818681.219797496,175291768.17979833
2026-03-01 00:00:00.000 UTC,ctf_refund,241367249,19647161.00958865,346268673.2428114
2026-03-01 00:00:00.000 UTC,neg_refund,1616718,346938.70188004535,8066442.900180302
2026-04-01 00:00:00.000 UTC,ctf_refund,84189107,37768221.825869,182441324.71210018
2026-04-01 00:00:00.000 UTC,neg_refund,9110426,5200084.912419761,30817781.19562246
